City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Norman Wells,CA,65.282,-126.8329,-30.96,68,40,2.3,scattered clouds
80,Bras-Panon,RE,-20.9967,55.6782,80.26,97,88,11.41,overcast clouds
81,Provideniya,RU,64.3833,-173.3,1.13,90,13,4.92,few clouds
82,Atuona,PF,-9.8,-139.0333,76.77,79,0,12.57,clear sky
83,Hamilton,US,39.1834,-84.5333,21.97,69,0,1.99,snow
84,Nikolskoye,RU,59.7035,30.7861,26.71,91,100,10.78,light snow
85,Barrow,US,71.2906,-156.7887,-11.18,77,0,10.36,clear sky
86,Jodhpur,IN,26.2867,73.03,63.45,19,0,2.39,clear sky
87,Ormara,PK,25.2088,64.6357,72.09,73,0,11.65,clear sky
88,Qandala,SO,11.472,49.8728,75.09,66,97,7.29,overcast clouds
89,Kalianget,ID,-7.05,113.9333,80.04,83,100,6.46,light rain
90,Banjar,ID,-8.19,114.9675,82.26,88,100,3.56,overcast clouds
91,Riyadh,SA,24.6877,46.7219,60.94,26,0,9.71,clear sky
92,Jacmel,HT,18.2342,-72.5347,80.44,72,25,6.13,scattered clouds
93,Chalus,IR,36.655,51.4204,44.06,87,0,0.0,clear sky
94,Jelling,DK,55.7559,9.4258,47.43,87,100,42.57,overcast clouds
95,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,70,75,6.91,broken clouds
96,Boende,CD,-0.2167,20.8667,84.78,31,48,2.75,scattered clouds
97,Ossora,RU,59.2353,163.0719,27.73,96,100,16.26,light snow
98,Novyy Urengoy,RU,66.0833,76.6333,-10.16,98,96,7.96,overcast clouds
99,Butaritari,KI,3.0707,172.7902,81.9,78,31,18.37,scattered clouds
100,Port Alfred,ZA,-33.5906,26.891,70.61,71,17,14.54,few clouds
101,Troitsko-Pechorsk,RU,62.7084,56.1964,11.88,95,100,7.52,overcast clouds
102,Pundaguitan,PH,6.3711,126.1689,80.73,78,61,5.7,broken clouds
103,Prabumulih,ID,-3.45,104.25,74.71,95,100,1.63,overcast clouds
104,Tual,ID,-5.6667,132.75,83.28,75,99,13.44,overcast clouds
105,Abu Samrah,SY,35.3029,37.1841,41.11,80,76,6.6,broken clouds
106,Lebanon,US,36.2081,-86.2911,26.82,63,0,0.0,clear sky
107,Pitimbu,BR,-7.4706,-34.8086,84.79,70,87,6.53,overcast clouds
108,Longyearbyen,SJ,78.2186,15.6401,8.44,66,20,13.8,few clouds
109,Xiongyue,CN,40.1774,122.1228,18.16,51,0,0.98,clear sky
110,Upernavik,GL,72.7868,-56.1549,2.1,92,100,3.6,overcast clouds
111,New Norfolk,AU,-42.7826,147.0587,60.93,98,14,0.69,few clouds
112,Tiznit,MA,29.5833,-9.5,65.3,21,0,30.33,clear sky
113,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,9.22,scattered clouds
114,Muroto,JP,33.2833,134.15,49.59,58,87,3.78,overcast clouds
115,Dos Hermanas,ES,37.2829,-5.9209,67.01,31,0,5.99,clear sky
116,Inta,RU,66.0317,60.1659,5.49,86,98,6.26,overcast clouds
117,Saskylakh,RU,71.9167,114.0833,-18.83,96,91,3.58,overcast clouds
118,Georgetown,MY,5.4112,100.3354,84.15,79,20,3.0,few clouds
119,Puerto Ayora,EC,-0.7393,-90.3518,80.56,72,46,8.86,scattered clouds
120,Puri,IN,19.8,85.85,61.32,49,0,3.33,clear sky
121,Fukue,JP,32.6881,128.8419,46.87,52,87,12.8,light rain
122,Mandiana,GN,10.6333,-8.6833,96.62,10,8,7.36,clear sky
123,Xuanzhou,CN,30.9525,118.7553,35.31,100,100,4.36,light snow
124,Dawson Creek,CA,55.7666,-120.2362,35.24,64,0,3.44,clear sky
125,Fort-Shevchenko,KZ,44.5086,50.263,35.94,73,12,8.08,few clouds
126,Salinas,US,36.6777,-121.6555,59.97,53,0,11.5,clear sky
127,Port Augusta,AU,-32.5,137.7667,76.71,61,3,8.81,clear sky
128,Gijon,ES,43.5357,-5.6615,56.25,85,3,4.0,clear sky
129,Urumqi,CN,43.801,87.6005,-6.65,92,75,2.24,mist
130,Isangel,VU,-19.55,169.2667,79.5,90,100,19.33,moderate rain
131,Ayagoz,KZ,47.9714,80.4392,-2.45,88,100,3.51,overcast clouds
132,Guerrero Negro,MX,27.9769,-114.0611,64.96,39,0,2.48,clear sky
133,Hithadhoo,MV,-0.6,73.0833,81.75,68,100,4.88,overcast clouds
134,Carnarvon,AU,-24.8667,113.6333,75.27,94,75,10.36,broken clouds
135,Talnakh,RU,69.4865,88.3972,-3.8,97,100,10.16,light snow
136,Madimba,TZ,-10.4,40.3333,75.42,91,100,6.44,overcast clouds
137,Constitucion,CL,-35.3333,-72.4167,67.64,71,20,11.1,few clouds
138,Lavrentiya,RU,65.5833,-171.0,-4.68,84,3,4.9,clear sky
139,Abalak,RU,58.1286,68.5944,8.2,96,100,4.9,overcast clouds
140,Tura,IN,25.5198,90.2201,53.15,52,0,2.37,clear sky
141,Klaksvik,FO,62.2266,-6.589,36.52,63,68,43.46,broken clouds
142,Ribeira Grande,PT,38.5167,-28.7,64.8,55,40,5.75,scattered clouds
143,Ondangwa,NA,-17.9167,15.95,72.86,76,93,19.46,moderate rain
144,Cam Ranh,VN,11.9214,109.1591,75.16,83,40,5.75,scattered clouds
145,Tekari,IN,24.9333,84.8333,53.82,60,0,7.02,clear sky
146,Dikson,RU,73.5069,80.5464,2.23,93,99,21.03,overcast clouds
147,Birjand,IR,32.8663,59.2211,43.27,22,0,4.61,clear sky
148,Camacha,PT,33.0833,-16.3333,63.54,68,0,9.22,clear sky
149,Yellowknife,CA,62.456,-114.3525,-7.58,84,100,4.61,light snow
150,Callaway,US,30.153,-85.5699,42.91,37,0,11.01,clear sky
151,Odweyne,SO,9.4092,45.064,64.65,67,90,12.17,overcast clouds
152,Geraldton,AU,-28.7667,114.6,72.01,83,0,4.61,clear sky
153,Abonnema,NG,4.7084,6.7931,87.4,29,46,10.2,scattered clouds
154,Isilkul,RU,54.9109,71.2728,4.05,87,100,7.72,overcast clouds
155,Minuri,PH,16.535,121.8574,72.84,93,9,0.69,clear sky
156,San Jeronimo,PE,-11.9472,-75.2829,61.95,48,89,1.16,overcast clouds
157,Hobart,AU,-42.8794,147.3294,61.27,75,100,6.91,overcast clouds
158,Bubaque,GW,11.2833,-15.8333,78.82,63,64,18.99,broken clouds
159,Muromtsevo,RU,56.3724,75.2418,3.76,92,100,5.88,overcast clouds
160,Kodiak,US,57.79,-152.4072,29.71,69,100,23.02,overcast clouds
161,Mokhsogollokh,RU,61.4681,128.9203,-28.89,100,34,3.27,scattered clouds
162,Viedma,AR,-40.8135,-62.9967,97.79,21,1,15.19,clear sky
163,Thinadhoo,MV,0.5333,72.9333,81.32,72,83,5.99,broken clouds
164,Bilibino,RU,68.0546,166.4372,-3.78,88,100,3.13,overcast clouds
165,Northam,GB,51.0333,-4.2167,53.22,91,79,16.06,broken clouds
166,Kabalo,CD,-6.05,26.9167,71.31,93,77,3.27,moderate rain
167,Wairoa,NZ,-39.0333,177.3667,58.55,91,16,3.0,few clouds
168,Sur,OM,22.5667,59.5289,71.87,55,17,1.05,few clouds
169,Padrauna,IN,26.9025,83.9819,53.87,71,0,6.96,clear sky
170,Cape Town,ZA,-33.9258,18.4232,73.11,64,0,8.01,clear sky
171,Nemuro,JP,43.3236,145.575,18.57,78,81,12.97,broken clouds
172,Kudahuvadhoo,MV,2.6708,72.8944,81.5,71,59,8.66,broken clouds
173,Avarua,CK,-21.2078,-159.775,75.25,94,39,3.44,scattered clouds
174,Inongo,CD,-1.95,18.2667,82.62,47,66,2.93,broken clouds
175,Wewak,PG,-3.5534,143.6268,78.33,86,100,10.71,light rain
