City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ushuaia,AR,2022-01-29 15:18:09,-54.8,-68.3,58.66,67,40,3.44
68,Kysyl-Syr,RU,2022-01-29 15:18:09,63.8986,122.7617,-14.94,100,100,3.94
69,Punta Arenas,CL,2022-01-29 15:13:44,-53.15,-70.9167,59.02,62,75,19.57
70,Kindu,CD,2022-01-29 15:18:10,-2.95,25.95,88.16,47,70,2.28
71,Baripada,IN,2022-01-29 15:18:10,21.935,86.7214,63.79,38,0,4.92
72,Krechevitsy,RU,2022-01-29 15:18:10,58.617,31.401,20.66,96,98,6.8
73,Iqaluit,CA,2022-01-29 15:18:11,63.7506,-68.5145,-13.27,69,100,10.0
74,Ulaangom,MN,2022-01-29 15:18:11,49.9811,92.0667,-22.88,93,92,3.33
75,Butaritari,KI,2022-01-29 15:18:12,3.0707,172.7902,81.91,78,38,17.92
76,Akdepe,TM,2022-01-29 15:18:12,42.0551,59.3788,32.0,67,8,4.85
77,Chapais,CA,2022-01-29 15:18:13,49.7834,-74.8492,-22.22,90,40,2.82
78,Constitucion,CL,2022-01-29 15:16:38,-35.3333,-72.4167,67.33,71,24,8.25
79,Hobart,AU,2022-01-29 15:14:32,-42.8794,147.3294,62.26,77,100,1.01
80,Hilo,US,2022-01-29 15:18:13,19.7297,-155.09,66.79,75,75,6.91
81,Mar Del Plata,AR,2022-01-29 15:18:14,-38.0023,-57.5575,78.82,52,0,13.0
82,Sarahan,IN,2022-01-29 15:18:14,31.5167,77.8,33.84,64,14,9.17
83,Meihekou,CN,2022-01-29 15:18:15,42.5272,125.6753,2.57,85,2,6.4
84,Picayune,US,2022-01-29 15:14:44,30.5255,-89.6795,37.83,53,0,5.59
85,Hithadhoo,MV,2022-01-29 15:18:15,-0.6,73.0833,81.82,67,100,5.37
86,Rongcheng,CN,2022-01-29 15:18:16,30.634,117.8517,35.38,99,100,3.89
87,Mataura,NZ,2022-01-29 15:18:16,-46.1927,168.8643,62.47,76,100,2.8
88,Auki,SB,2022-01-29 15:18:17,-8.7676,160.7034,77.54,87,74,5.06
89,Sangar,RU,2022-01-29 15:18:17,63.9242,127.4739,-34.31,99,45,1.66
90,Cayenne,GF,2022-01-29 15:18:17,4.9333,-52.3333,86.04,69,0,4.0
91,Channel-Port Aux Basques,CA,2022-01-29 15:16:05,47.5702,-59.1367,33.46,96,100,13.42
92,Bluff,NZ,2022-01-29 15:18:18,-46.6,168.3333,62.8,78,100,8.7
93,Myitkyina,MM,2022-01-29 15:18:18,25.3833,97.4,54.86,69,0,2.62
94,Pevek,RU,2022-01-29 15:18:19,69.7008,170.3133,-11.18,98,100,3.31
95,Swan River,CA,2022-01-29 15:18:19,52.1058,-101.2676,10.29,85,100,4.61
96,Severo-Kurilsk,RU,2022-01-29 15:18:20,50.6789,156.125,23.45,72,100,19.73
97,Nurobod,UZ,2022-01-29 15:19:20,40.9056,69.8023,38.25,72,9,4.85
98,Krasnoselkup,RU,2022-01-29 15:19:21,65.7,82.4667,-4.63,99,97,7.85
99,Mogadishu,SO,2022-01-29 15:19:21,2.0371,45.3438,79.3,70,27,23.2
100,Toamasina,MG,2022-01-29 15:19:22,-18.1667,49.3833,80.6,83,40,5.75
101,Menongue,AO,2022-01-29 15:19:22,-14.6585,17.691,61.52,98,100,6.62
102,Chuy,UY,2022-01-29 15:19:22,-33.6971,-53.4616,74.88,60,54,6.8
103,Turayf,SA,2022-01-29 15:19:23,31.6725,38.6637,50.25,53,40,4.61
104,Krasnozerskoye,RU,2022-01-29 15:19:23,53.9828,79.2374,2.68,88,85,8.16
105,Ilave,PE,2022-01-29 15:19:24,-16.0833,-69.6667,51.98,65,100,3.22
106,Kapaa,US,2022-01-29 15:19:24,22.0752,-159.319,73.72,92,90,14.97
107,Breytovo,RU,2022-01-29 15:19:25,58.2993,37.8617,17.33,98,96,2.89
108,Avarua,CK,2022-01-29 15:19:25,-21.2078,-159.775,75.25,94,45,3.44
109,Beroroha,MG,2022-01-29 15:19:25,-21.6667,45.1667,93.96,33,7,6.89
110,Tiznit,MA,2022-01-29 15:19:26,29.5833,-9.5,67.01,21,0,31.9
111,Henties Bay,NA,2022-01-29 15:19:26,-22.116,14.2845,65.86,77,24,12.82
112,Lompoc,US,2022-01-29 15:18:19,34.6391,-120.4579,58.51,49,0,4.61
113,Yellowknife,CA,2022-01-29 15:19:27,62.456,-114.3525,-8.45,92,100,5.75
114,Puerto Ayora,EC,2022-01-29 15:19:27,-0.7393,-90.3518,78.76,77,71,8.03
115,Devonport,AU,2022-01-29 15:19:28,-41.1667,146.35,62.02,80,76,8.19
116,Barreirinhas,BR,2022-01-29 15:19:28,-2.7469,-42.8264,82.62,63,94,9.04
117,Qaanaaq,GL,2022-01-29 15:19:29,77.484,-69.3632,-11.47,57,52,8.68
118,Cidreira,BR,2022-01-29 15:19:29,-30.1811,-50.2056,75.49,52,56,11.43
119,Rokiskis,LT,2022-01-29 15:19:29,55.9667,25.5833,29.41,81,100,15.3
120,New Norfolk,AU,2022-01-29 15:19:30,-42.7826,147.0587,61.92,97,12,0.47
121,Chokurdakh,RU,2022-01-29 15:19:30,70.6333,147.9167,-14.04,86,100,3.49
122,Ambalavao,MG,2022-01-29 15:19:31,-21.8333,46.9333,74.64,70,50,4.83
123,Ust-Shonosha,RU,2022-01-29 15:19:31,61.1531,41.343,13.42,97,99,3.8
124,Porto Novo,BJ,2022-01-29 15:19:32,6.4965,2.6036,94.82,21,86,9.46
125,Malko Tarnovo,BG,2022-01-29 15:19:32,41.9833,27.5333,36.12,72,93,3.49
126,Mugumu,TZ,2022-01-29 15:19:33,-1.85,34.7,71.87,58,71,5.3
127,Saint-Pierre,RE,2022-01-29 15:19:33,-21.3393,55.4781,82.08,78,75,14.97
128,Tasiilaq,GL,2022-01-29 15:19:34,65.6145,-37.6368,15.96,87,86,4.72
129,Sisimiut,GL,2022-01-29 15:19:34,66.9395,-53.6735,9.05,90,100,17.81
130,Kaitangata,NZ,2022-01-29 15:19:34,-46.2817,169.8464,54.86,78,100,4.59
131,Talnakh,RU,2022-01-29 15:19:35,69.4865,88.3972,-2.79,97,100,10.2
132,Cabo San Lucas,MX,2022-01-29 15:19:35,22.8909,-109.9124,70.52,75,1,4.61
133,Palmas Bellas,PA,2022-01-29 15:19:36,9.2319,-80.0867,86.34,65,29,12.68
134,Atuona,PF,2022-01-29 15:19:36,-9.8,-139.0333,76.73,76,0,12.21
135,Haines Junction,CA,2022-01-29 15:19:37,60.7522,-137.5108,13.95,67,100,10.36
136,Billere,FR,2022-01-29 15:19:37,43.3,-0.4,46.96,87,0,4.61
137,Port Hedland,AU,2022-01-29 15:19:38,-20.3167,118.5667,84.25,74,75,6.91
138,Huesca,ES,2022-01-29 15:19:38,42.1362,-0.4087,56.08,39,0,4.0
139,Moerai,PF,2022-01-29 15:20:39,-22.4333,-151.3333,79.25,75,0,8.46
140,Pauini,BR,2022-01-29 15:20:39,-7.7136,-66.9764,74.98,97,100,3.6
141,Banepa,NP,2022-01-29 15:20:40,27.6298,85.5214,44.92,76,20,4.61
142,Luderitz,NA,2022-01-29 15:20:40,-26.6481,15.1594,72.05,69,74,16.13
143,Beringovskiy,RU,2022-01-29 15:20:41,63.05,179.3167,-10.16,100,100,2.75
144,Ilulissat,GL,2022-01-29 15:20:41,69.2167,-51.1,10.42,79,75,4.61
145,Katsuura,JP,2022-01-29 15:20:42,35.1333,140.3,42.91,87,75,13.27
146,Limbang,MY,2022-01-29 15:20:42,4.75,115.0,80.91,97,55,0.49
147,Bethel,US,2022-01-29 15:20:42,41.3712,-73.414,21.94,80,100,12.66
148,Esperance,AU,2022-01-29 15:20:43,-33.8667,121.9,67.62,73,0,18.99
149,Vao,NC,2022-01-29 15:20:43,-22.6667,167.4833,78.46,85,100,9.69
